2026-04-07 15:55:36 [restartedMain] INFO  c.retailstore.RetailStoreApplication - Starting RetailStoreApplication using Java 21.0.7 with PID 19448 (C:\Users\Keerthi.Samayam\IntelliJIDEA\ResumeAddedProject\retail-store\target\classes started by Keerthi.Samayam in C:\Users\Keerthi.Samayam\IntelliJIDEA\ResumeAddedProject\retail-store)
2026-04-07 15:55:39 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Finished Spring Batch infrastructure beans configuration in 15 ms.
2026-04-07 15:55:39 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobRepository already defined in the application context, skipping the registration of a jobRepository
2026-04-07 15:55:39 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobExplorer already defined in the application context, skipping the registration of a jobExplorer
2026-04-07 15:55:39 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobLauncher already defined in the application context, skipping the registration of a jobLauncher
2026-04-07 15:55:39 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobRegistry already defined in the application context, skipping the registration of a jobRegistry
2026-04-07 15:55:39 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobRegistryBeanPostProcessor already defined in the application context, skipping the registration of a jobRegistryBeanPostProcessor
2026-04-07 15:55:39 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobOperator already defined in the application context, skipping the registration of a jobOperator
2026-04-07 15:55:39 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Finished Spring Batch infrastructure beans configuration in 9 ms.
2026-04-07 15:55:39 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-07 15:55:40 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 406 ms. Found 14 JPA repository interfaces.
2026-04-07 15:55:41 [restartedMain] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jobRegistry' of type [org.springframework.batch.core.configuration.support.MapJobRegistry] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [jobRegistryBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-04-07 15:55:42 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-07 15:55:42 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-07 15:55:42 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.31]
2026-04-07 15:55:42 [restartedMain] INFO  o.a.c.c.C.[.[.[/retail-store] - Initializing Spring embedded WebApplicationContext
2026-04-07 15:55:42 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5645 ms
2026-04-07 15:55:43 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-04-07 15:55:43 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2026-04-07 15:55:43 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-04-07 15:55:44 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-04-07 15:55:44 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-07 15:55:45 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@106dfb55
2026-04-07 15:55:45 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-04-07 15:55:47 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-04-07 15:55:48 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-04-07 15:55:50 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
2026-04-07 15:55:50 [restartedMain] INFO  o.s.b.c.r.s.JobRepositoryFactoryBean - No database type set, using meta data indicating: MYSQL
2026-04-07 15:55:50 [restartedMain] INFO  o.s.b.c.l.support.SimpleJobLauncher - No TaskExecutor has been set, defaulting to synchronous executor.
2026-04-07 15:55:51 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 15:55:51 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 15:55:51 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 15:55:51 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 15:55:51 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 15:55:51 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 15:55:51 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 15:55:51 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 15:55:51 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 15:55:51 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-04-07 15:55:52 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-04-07 15:55:54 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-04-07 15:55:54 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/retail-store'
2026-04-07 15:55:54 [restartedMain] INFO  c.retailstore.RetailStoreApplication - Started RetailStoreApplication in 20.585 seconds (process running for 22.189)
2026-04-07 15:56:00 [scheduling-1] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [SimpleJob: [name=orderReportJob]] launched with the following parameters: [{'runId_orderReportJob':'{value=1775557560018, type=class java.lang.Long, identifying=true}'}]
2026-04-07 15:56:00 [scheduling-1] INFO  o.s.batch.core.job.SimpleStepHandler - Executing step: [orderReportStep]
2026-04-07 15:56:05 [scheduling-1] INFO  o.s.batch.core.step.AbstractStep - Step: [orderReportStep] executed in 5s793ms
2026-04-07 15:56:06 [scheduling-1] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [SimpleJob: [name=orderReportJob]] completed with the following parameters: [{'runId_orderReportJob':'{value=1775557560018, type=class java.lang.Long, identifying=true}'}] and the following status: [COMPLETED] in 5s914ms
2026-04-07 15:56:06 [scheduling-1] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [SimpleJob: [name=productUploadJob]] launched with the following parameters: [{'runId_productUploadJob':'{value=1775557566104, type=class java.lang.Long, identifying=true}','filePath':'{value=uploads/products-upload.csv, type=class java.lang.String, identifying=true}'}]
2026-04-07 15:56:06 [scheduling-1] INFO  o.s.batch.core.job.SimpleStepHandler - Executing step: [productUploadStep]
2026-04-07 15:56:11 [scheduling-1] INFO  o.s.batch.core.step.AbstractStep - Step: [productUploadStep] executed in 5s478ms
2026-04-07 15:56:11 [scheduling-1] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [SimpleJob: [name=productUploadJob]] completed with the following parameters: [{'runId_productUploadJob':'{value=1775557566104, type=class java.lang.Long, identifying=true}','filePath':'{value=uploads/products-upload.csv, type=class java.lang.String, identifying=true}'}] and the following status: [COMPLETED] in 5s649ms
2026-04-07 15:56:11 [scheduling-1] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [SimpleJob: [name=stockReconciliationJob]] launched with the following parameters: [{'runId_stockReconciliationJob':'{value=1775557571926, type=class java.lang.Long, identifying=true}','filePath':'{value=uploads/stocks-reconciliation.csv, type=class java.lang.String, identifying=true}'}]
2026-04-07 15:56:11 [scheduling-1] INFO  o.s.batch.core.job.SimpleStepHandler - Executing step: [truncateTempStockStep]
2026-04-07 15:56:12 [scheduling-1] INFO  o.s.batch.core.step.AbstractStep - Step: [truncateTempStockStep] executed in 110ms
2026-04-07 15:56:12 [scheduling-1] INFO  o.s.batch.core.job.SimpleStepHandler - Executing step: [loadTempStockStep]
2026-04-07 15:56:12 [scheduling-1] INFO  o.s.batch.core.step.AbstractStep - Step: [loadTempStockStep] executed in 108ms
2026-04-07 15:56:12 [scheduling-1] INFO  o.s.batch.core.job.SimpleStepHandler - Executing step: [stockMismatchStep]
2026-04-07 15:56:12 [scheduling-1] INFO  o.s.batch.core.step.AbstractStep - Step: [stockMismatchStep] executed in 47ms
2026-04-07 15:56:12 [scheduling-1] INFO  o.s.batch.core.job.SimpleStepHandler - Executing step: [generateReportStep]
2026-04-07 15:56:16 [scheduling-1] INFO  o.s.batch.core.step.AbstractStep - Step: [generateReportStep] executed in 4s434ms
2026-04-07 15:56:16 [scheduling-1] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [SimpleJob: [name=stockReconciliationJob]] completed with the following parameters: [{'runId_stockReconciliationJob':'{value=1775557571926, type=class java.lang.Long, identifying=true}','filePath':'{value=uploads/stocks-reconciliation.csv, type=class java.lang.String, identifying=true}'}] and the following status: [COMPLETED] in 4s859ms
2026-04-07 15:56:26 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-04-07 15:56:26 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-04-07 15:56:26 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-04-07 16:08:30 [restartedMain] INFO  c.retailstore.RetailStoreApplication - Starting RetailStoreApplication using Java 21.0.7 with PID 25992 (C:\Users\Keerthi.Samayam\IntelliJIDEA\ResumeAddedProject\retail-store\target\classes started by Keerthi.Samayam in C:\Users\Keerthi.Samayam\IntelliJIDEA\ResumeAddedProject\retail-store)
2026-04-07 16:08:30 [restartedMain] INFO  c.retailstore.RetailStoreApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-07 16:08:30 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-04-07 16:08:30 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-04-07 16:08:32 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Finished Spring Batch infrastructure beans configuration in 13 ms.
2026-04-07 16:08:32 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobRepository already defined in the application context, skipping the registration of a jobRepository
2026-04-07 16:08:32 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobExplorer already defined in the application context, skipping the registration of a jobExplorer
2026-04-07 16:08:32 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobLauncher already defined in the application context, skipping the registration of a jobLauncher
2026-04-07 16:08:32 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobRegistry already defined in the application context, skipping the registration of a jobRegistry
2026-04-07 16:08:32 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobRegistryBeanPostProcessor already defined in the application context, skipping the registration of a jobRegistryBeanPostProcessor
2026-04-07 16:08:32 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobOperator already defined in the application context, skipping the registration of a jobOperator
2026-04-07 16:08:32 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Finished Spring Batch infrastructure beans configuration in 12 ms.
2026-04-07 16:08:32 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobRepository already defined in the application context, skipping the registration of a jobRepository
2026-04-07 16:08:32 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobExplorer already defined in the application context, skipping the registration of a jobExplorer
2026-04-07 16:08:32 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobLauncher already defined in the application context, skipping the registration of a jobLauncher
2026-04-07 16:08:32 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobRegistry already defined in the application context, skipping the registration of a jobRegistry
2026-04-07 16:08:32 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobRegistryBeanPostProcessor already defined in the application context, skipping the registration of a jobRegistryBeanPostProcessor
2026-04-07 16:08:32 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobOperator already defined in the application context, skipping the registration of a jobOperator
2026-04-07 16:08:32 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Finished Spring Batch infrastructure beans configuration in 17 ms.
2026-04-07 16:08:33 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-07 16:08:33 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 388 ms. Found 14 JPA repository interfaces.
2026-04-07 16:08:35 [restartedMain] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jobRegistry' of type [org.springframework.batch.core.configuration.support.MapJobRegistry] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [jobRegistryBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
2026-04-07 16:08:36 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-04-07 16:08:36 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-07 16:08:36 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.31]
2026-04-07 16:08:36 [restartedMain] INFO  o.a.c.c.C.[.[.[/retail-store] - Initializing Spring embedded WebApplicationContext
2026-04-07 16:08:36 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5522 ms
2026-04-07 16:08:36 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-04-07 16:08:37 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.3.Final
2026-04-07 16:08:37 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-04-07 16:08:38 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-04-07 16:08:38 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-07 16:08:38 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3fedb206
2026-04-07 16:08:38 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-04-07 16:08:40 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-04-07 16:08:41 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-04-07 16:08:42 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
2026-04-07 16:08:42 [restartedMain] INFO  o.s.b.c.r.s.JobRepositoryFactoryBean - No database type set, using meta data indicating: MYSQL
2026-04-07 16:08:42 [restartedMain] INFO  o.s.b.c.l.support.SimpleJobLauncher - No TaskExecutor has been set, defaulting to synchronous executor.
2026-04-07 16:08:43 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 16:08:43 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 16:08:43 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 16:08:43 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 16:08:43 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 16:08:43 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 16:08:43 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 16:08:43 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 16:08:43 [restartedMain] INFO  o.s.b.c.c.a.BatchObservabilityBeanPostProcessor - No Micrometer observation registry found, defaulting to ObservationRegistry.NOOP
2026-04-07 16:08:43 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-04-07 16:08:44 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-04-07 16:08:45 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-04-07 16:08:46 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/retail-store'
2026-04-07 16:08:46 [restartedMain] INFO  c.retailstore.RetailStoreApplication - Started RetailStoreApplication in 18.072 seconds (process running for 19.448)
2026-04-07 16:10:00 [scheduling-1] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [SimpleJob: [name=orderReportJob]] launched with the following parameters: [{'runId_orderReportJob':'{value=1775558400030, type=class java.lang.Long, identifying=true}'}]
2026-04-07 16:10:00 [scheduling-1] INFO  o.s.batch.core.job.SimpleStepHandler - Executing step: [orderReportStep]
2026-04-07 16:10:05 [scheduling-1] INFO  o.s.batch.core.step.AbstractStep - Step: [orderReportStep] executed in 5s365ms
2026-04-07 16:10:05 [scheduling-1] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [SimpleJob: [name=orderReportJob]] completed with the following parameters: [{'runId_orderReportJob':'{value=1775558400030, type=class java.lang.Long, identifying=true}'}] and the following status: [COMPLETED] in 5s426ms
2026-04-07 16:10:05 [scheduling-1] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [SimpleJob: [name=productUploadJob]] launched with the following parameters: [{'runId_productUploadJob':'{value=1775558405596, type=class java.lang.Long, identifying=true}','filePath':'{value=uploads/products-upload.csv, type=class java.lang.String, identifying=true}'}]
2026-04-07 16:10:05 [scheduling-1] INFO  o.s.batch.core.job.SimpleStepHandler - Executing step: [productUploadStep]
2026-04-07 16:10:11 [scheduling-1] INFO  o.s.batch.core.step.AbstractStep - Step: [productUploadStep] executed in 5s584ms
2026-04-07 16:10:11 [scheduling-1] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [SimpleJob: [name=productUploadJob]] completed with the following parameters: [{'runId_productUploadJob':'{value=1775558405596, type=class java.lang.Long, identifying=true}','filePath':'{value=uploads/products-upload.csv, type=class java.lang.String, identifying=true}'}] and the following status: [COMPLETED] in 5s627ms
2026-04-07 16:10:11 [scheduling-1] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [SimpleJob: [name=stockReconciliationJob]] launched with the following parameters: [{'runId_stockReconciliationJob':'{value=1775558411259, type=class java.lang.Long, identifying=true}','filePath':'{value=uploads/stocks-reconciliation.csv, type=class java.lang.String, identifying=true}'}]
2026-04-07 16:10:11 [scheduling-1] INFO  o.s.batch.core.job.SimpleStepHandler - Executing step: [truncateTempStockStep]
2026-04-07 16:10:11 [scheduling-1] INFO  o.s.batch.core.step.AbstractStep - Step: [truncateTempStockStep] executed in 123ms
2026-04-07 16:10:11 [scheduling-1] INFO  o.s.batch.core.job.SimpleStepHandler - Executing step: [loadTempStockStep]
2026-04-07 16:10:11 [scheduling-1] INFO  o.s.batch.core.step.AbstractStep - Step: [loadTempStockStep] executed in 140ms
2026-04-07 16:10:11 [scheduling-1] INFO  o.s.batch.core.job.SimpleStepHandler - Executing step: [stockMismatchStep]
2026-04-07 16:10:11 [scheduling-1] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - SQL Error: 1054, SQLState: 42S22
2026-04-07 16:10:12 [scheduling-1] INFO  o.s.batch.core.step.AbstractStep - Step: [stockMismatchStep] executed in 347ms
2026-04-07 16:10:12 [scheduling-1] INFO  o.s.b.c.l.support.SimpleJobLauncher - Job: [SimpleJob: [name=stockReconciliationJob]] completed with the following parameters: [{'runId_stockReconciliationJob':'{value=1775558411259, type=class java.lang.Long, identifying=true}','filePath':'{value=uploads/stocks-reconciliation.csv, type=class java.lang.String, identifying=true}'}] and the following status: [FAILED] in 775ms
2026-04-07 16:10:35 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-04-07 16:10:35 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-04-07 16:10:35 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-04-07 16:16:51 [restartedMain] INFO  c.retailstore.RetailStoreApplication - Starting RetailStoreApplication using Java 21.0.7 with PID 14376 (C:\Users\Keerthi.Samayam\IntelliJIDEA\ResumeAddedProject\retail-store\target\classes started by Keerthi.Samayam in C:\Users\Keerthi.Samayam\IntelliJIDEA\ResumeAddedProject\retail-store)
2026-04-07 16:16:51 [restartedMain] INFO  c.retailstore.RetailStoreApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-07 16:16:51 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-04-07 16:16:51 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-04-07 16:16:53 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Finished Spring Batch infrastructure beans configuration in 15 ms.
2026-04-07 16:16:53 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobRepository already defined in the application context, skipping the registration of a jobRepository
2026-04-07 16:16:53 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobExplorer already defined in the application context, skipping the registration of a jobExplorer
2026-04-07 16:16:53 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobLauncher already defined in the application context, skipping the registration of a jobLauncher
2026-04-07 16:16:53 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobRegistry already defined in the application context, skipping the registration of a jobRegistry
2026-04-07 16:16:53 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobRegistryBeanPostProcessor already defined in the application context, skipping the registration of a jobRegistryBeanPostProcessor
2026-04-07 16:16:53 [restartedMain] INFO  o.s.b.c.c.annotation.BatchRegistrar - Bean jobOperator already defined in the application context, skipping the registration of a jobOperator
